@RELATION codesnippets

@ATTRIBUTE indentation	NUMERIC
@ATTRIBUTE comments	NUMERIC
@ATTRIBUTE nondic		NUMERIC
@ATTRIBUTE keywords	NUMERIC
@ATTRIBUTE separator	NUMERIC
@ATTRIBUTE operator	NUMERIC
@ATTRIBUTE numofwords	NUMERIC
@ATTRIBUTE stopwords	NUMERIC
@ATTRIBUTE class  {text, sourcecode}

@DATA
0,0,0,0,0,0,3,0, text
0,0,0,0,0,0,27,0.518518519, text
0,0,0,0,0,0,0,0, text
0,0,0.066666667,0,0,0,15,0.4, text
0,0,0,0,0,0,0,0, text
0,0,0.035714286,0.071428571,0.0125,0,28,0.5, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0.033333333,6,0.5, text
0,0,0,0,0,0,0,0, text
0,0,0.032786885,0,0.00625,0.009375,61,0.491803279, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0.014492754,11,0.454545455, text
0,0,0,0,0,0.022222222,5,0, text
0,0,0.041666667,0.083333333,0,0.007518797,24,0.291666667, text
0,0,0,0,0,0,0,0, text
0,0,0.166666667,0,0.020408163,0.040816327,18,0.5, text
0,0,0,0,0,0,0,0, text
0,0,0.020833333,0.0625,0.00754717,0,48,0.5, text
0,0,0,0,0,0,0,0, text
0,0,0.25,0,0,0.01369863,8,0.125, text
0,0,0,0,0,0,0,0, text
0,0,0.028846154,0.115384615,0,0.001677852,104,0.480769231, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0.014492754,11,0.454545455, text
0,0,0,0,0,0.022727273,5,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,14,0.357142857, text
0,0,0,0,0,0,0,0, text
0,0,0.048780488,0.12195122,0,0,41,0.463414634, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,5,0.4, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0.333333333, text
0,0,0,0,0,0,2,0, text
0,0,0,0,0,0,5,0.2, text
0,0,0,0.2,0.045454545,0,5,0.2, text
0,0,0,0,0,0,0,0, text
0,0,0,0.5,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.333333333,0,0,3,0, text
0,0,0,0,0,0,2,0, text
0,0,1,0,0,0.043478261,2,0, text
0,0,0,0,0,0,2,0, text
0,0,0,0,0,0,1,0, text
0,0,0.2,0,0.05,0,5,0.2, text
0,0,0,0.5,0,0,2,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
13.33333333,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
4.666666667,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
5,0,0,0,0,0,0,0, text
3.5,0,0,0,0,0,0,0, text
3,0,0,0,0,0,0,0, text
3,0,0,0,0,0,0,0, text
2.666666667,0,0,0,0,0,0,0, text
5,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
5,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
3,0,0,0,0,0,0,0, text
3,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
5,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
2.666666667,0,0,0,0,0,0,0, text
5,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
0,0,0,0,0,0,5,0.6, text
0,0,0,0,0,0,3,0.333333333, text
8,0,0,0,0,0,0,0, text
16,0,0,0,0,0,0,0, text
9,0,0,0,0,0,0,0, text
6.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
6.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,1,0,0, text
10,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0.333333333, text
10,0,0,0,0,0,0,0, text
0,0,0,0,0,1,0,0, text
10,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
10,0,0,0,0,0,0,0, text
0,0,0,0,0,1,0,0, text
6.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
6,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0.5,0,0,0,2,0, text
7,0,0,0,0,0,0,0, text
5,0,0,0,0,0,0,0, text
2.666666667,0,0,0,0,0,0,0, text
3,0,0,0,0,0,0,0, text
0.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0.047619048,3,0, text
0.142857143,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,2,0.5, text
0,0,0,0,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,6,0.166666667, text
0,0,0,0,0,0,1,0, text
4,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
10.66666667,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
16,0,0,0,0,0,0,0, text
20,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
20,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.25, text
24,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
24,0,0,0,0,0,0,0, text
20,0,0,0,0,0,0,0, text
16,0,0,0,0,0,0,0, text
16,0,0,0,0,0,0,0, text
20,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
20,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
28,0,0,0,0,0,0,0, text
32,0,0,0,0,0,0,0, text
36,0,0,0,0,0,0,0, text
36,0,0,0,0,0,0,0, text
40,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
36,0,0,0,0,0,0,0, text
32,0,0,0,0,0,0,0, text
32,0,0,0,0,0,0,0, text
36,0,0,0,0,0,0,0, text
36,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
32,0,0,0,0,0,0,0, text
28,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
20,0,0,0,0,0,0,0, text
16,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
10.66666667,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
4,0,0,0,0,0,0,0, text
5.333333333,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
5.333333333,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
4,0,0,0,0,0,16,0.5, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0.333333333, text
0,0,0,0,0,0,0,0, text
19.42857143,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.5, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,5,0.4, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.111111111,0,0,9,0.555555556, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,6,0.5, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0.333333333, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0.333333333, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
12,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.2,0.2,0,0.026315789,5,0.2, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.2,0,0,0.024390244,5,0.2, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.25,0,0,0.022727273,4,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.2,0.2,0,0.028571429,5,0.2, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.166666667,0.166666667,0,0.025,6,0.333333333, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.2,0.2,0,0.025,5,0.2, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.4,0,0,0.023809524,5,0.2, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.166666667,0,0,0,6,0.166666667, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.333333333,0,0,0.02173913,6,0.166666667, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,5,0.2, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.25,0,0,0.043478261,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.25,0,0,0.028571429,4,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.2,0,0,0.032258065,5,0.2, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.333333333,0,0,0.043478261,3,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.166666667,0,0,0.026315789,6,0.333333333, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.166666667,0,0,0.03030303,6,0.333333333, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.333333333,0,0.023255814,6,0.166666667, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.166666667,0,0,0,6,0.166666667, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,6,0.333333333, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,5,0.4, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.25,0,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.125,0,0,0.019607843,8,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.166666667,0,0,0.025641026,6,0.333333333, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.285714286,0,0,7,0.285714286, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.142857143,0.142857143,0.037735849,0.018867925,7,0.142857143, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,5,0.4, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.25,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,8,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.166666667,0,0,0.020408163,6,0.166666667, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.166666667,0,0,0.019230769,6,0.166666667, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.142857143,0.142857143,0,0.018181818,7,0.142857143, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.25,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0.333333333, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.333333333,0,0,0.033333333,3,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.25,0,0,4,0.25, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.333333333,0,0,6,0.166666667, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.142857143,0,0,7,0.285714286, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,9,0.444444444, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0.333333333, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.333333333,0,0,0.015873016,6,0.166666667, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.333333333,0,0,0,3,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0.333333333, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
1,0,0,0,0,0,7,0.428571429, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.2,0,0,0,5,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
24,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
20,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
4,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.666666667,0,0,0,3,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
4,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
10.66666667,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
10.66666667,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
10.66666667,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
10.66666667,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
10.66666667,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
10.66666667,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
10.66666667,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
10.66666667,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
8,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
13.66666667,0,0,0,0,0,0,0, text
